cylinders,displacement,horsepower,weight,acceleration,model_year,car_name,kpl,USA,Europe,Japan
8.0,5899.32,215,2092.97052154195,14.0,70.0,ford f250,4.251700680272109,1,0,0
8.0,5030.809,200,1984.580498866213,15.0,70.0,chevy c20,4.251700680272109,1,0,0
8.0,5211.066,210,1987.3015873015872,13.5,70.0,dodge d200,4.67687074829932,1,0,0
8.0,4981.648,193,2146.031746031746,18.5,70.0,hi 1200d,3.8265306122448983,1,0,0
4.0,1589.539,88,965.9863945578231,14.5,71.0,datsun pl510,11.479591836734695,0,0,1
4.0,2294.1800000000003,90,1026.7573696145125,15.5,71.0,chevrolet vega 2300,11.904761904761905,1,0,0
4.0,1851.731,95,1010.4308390022676,14.0,71.0,toyota corona,10.629251700680273,0,0,1
4.0,1605.926,82,927.8911564625851,19.0,71.0,ford pinto,10.629251700680273,1,0,0
6.0,3801.784,100,1194.5578231292516,13.0,71.0,amc gremlin,8.078231292517007,1,0,0
6.0,3687.0750000000003,105,1559.6371882086166,15.5,71.0,plymouth satellite custom,6.802721088435375,1,0,0
6.0,4096.75,100,1509.750566893424,15.5,71.0,chevrolet chevelle malibu,7.227891156462586,1,0,0
6.0,4096.75,88,1497.5056689342402,15.5,71.0,ford torino 500,8.078231292517007,1,0,0
6.0,3801.784,100,1491.156462585034,15.5,71.0,amc matador,7.653061224489797,1,0,0
8.0,5735.45,165,1908.843537414966,12.0,71.0,chevrolet impala,5.9523809523809526,1,0,0
8.0,6554.8,175,2024.4897959183672,11.5,71.0,pontiac catalina brougham,5.9523809523809526,1,0,0
8.0,5751.837,153,1883.9002267573696,13.5,71.0,ford galaxie 500,5.9523809523809526,1,0,0
8.0,5211.066,150,1857.596371882086,13.0,71.0,plymouth fury iii,5.9523809523809526,1,0,0
8.0,6276.2210000000005,180,2247.1655328798183,11.5,71.0,dodge monaco (sw),5.1020408163265305,1,0,0
8.0,6554.8,170,2152.3809523809523,12.0,71.0,ford country squire (sw),5.5272108843537415,1,0,0
8.0,6554.8,175,2331.065759637188,12.0,71.0,pontiac safari (sw),5.5272108843537415,1,0,0
6.0,4227.8460000000005,110,1343.3106575963718,13.5,71.0,amc hornet sportabout (sw),7.653061224489797,1,0,0
4.0,2294.1800000000003,72,1092.063492063492,19.0,71.0,chevrolet vega (sw),9.35374149659864,1,0,0
6.0,4096.75,100,1488.4353741496598,15.0,71.0,pontiac firebird,8.078231292517007,1,0,0
6.0,4096.75,88,1423.5827664399092,14.5,71.0,ford mustang,7.653061224489797,1,0,0
4.0,1999.214,86,1006.8027210884353,14.0,71.0,mercury capri 2000,9.77891156462585,1,0,0
4.0,1900.892,90,962.8117913832199,14.0,71.0,opel 1900,11.904761904761905,0,1,0
4.0,1294.573,70,940.5895691609977,19.5,71.0,peugeot 304,12.755102040816327,0,1,0
4.0,1442.056,76,936.5079365079365,14.5,71.0,fiat 124b,12.755102040816327,0,1,0
4.0,1163.477,65,804.0816326530612,19.0,71.0,toyota corolla 1200,13.180272108843537,0,0,1
4.0,1179.864,69,731.5192743764172,18.0,71.0,datsun 1200,14.880952380952381,0,0,1
4.0,1589.539,60,831.7460317460317,19.0,71.0,volkswagen model 111,11.479591836734695,0,1,0
4.0,1491.217,70,886.6213151927437,20.5,71.0,plymouth cricket,11.054421768707483,1,0,0
4.0,1851.731,95,1033.1065759637188,15.5,72.0,toyota corona hardtop,10.204081632653061,0,0,1
4.0,1597.7325,80,964.172335600907,17.0,72.0,dodge colt hardtop,10.629251700680273,1,0,0
4.0,1589.539,54,1022.2222222222222,23.5,72.0,volkswagen type 3,9.77891156462585,0,1,0
4.0,2294.1800000000003,90,1092.063492063492,19.5,72.0,chevrolet vega,8.503401360544219,1,0,0
4.0,1999.214,86,1009.5238095238095,16.5,72.0,ford pinto runabout,8.928571428571429,1,0,0
8.0,5735.45,165,1938.3219954648525,12.0,72.0,chevrolet impala,5.5272108843537415,1,0,0
8.0,6554.8,175,1988.6621315192742,12.0,72.0,pontiac catalina,5.9523809523809526,1,0,0
8.0,5211.066,150,1875.283446712018,13.5,72.0,plymouth fury iii,6.377551020408164,1,0,0
8.0,5751.837,153,1872.5623582766439,13.0,72.0,ford galaxie 500,5.9523809523809526,1,0,0
8.0,4981.648,150,1665.3061224489795,11.5,72.0,amc ambassador sst,7.227891156462586,1,0,0
8.0,7030.023,208,2101.1337868480723,11.0,72.0,mercury marquis,4.67687074829932,1,0,0
8.0,5735.45,155,2041.7233560090701,13.5,72.0,buick lesabre custom,5.5272108843537415,1,0,0
8.0,5735.45,160,2020.8616780045352,13.5,72.0,oldsmobile delta 88 royale,5.1020408163265305,1,0,0
8.0,6554.8,190,2005.4421768707482,12.5,72.0,chrysler newport royal,5.5272108843537415,1,0,0
3.0,1147.0900000000001,97,1056.6893424036282,13.5,72.0,mazda rx2 coupe,8.078231292517007,0,0,1
8.0,4981.648,150,1765.079365079365,12.5,72.0,amc matador (sw),6.377551020408164,1,0,0
8.0,5030.809,130,1858.503401360544,14.0,72.0,chevrolet chevelle concours (sw),5.5272108843537415,1,0,0
8.0,4948.874,140,1947.392290249433,16.0,72.0,ford gran torino (sw),5.5272108843537415,1,0,0
8.0,5211.066,150,1848.9795918367347,14.0,72.0,plymouth satellite custom (sw),5.9523809523809526,1,0,0
4.0,1982.827,112,1330.1587301587301,14.5,72.0,volvo 145e (sw),7.653061224489797,0,1,0
4.0,1982.827,76,1138.7755102040817,18.0,72.0,volkswagen 411 (sw),9.35374149659864,0,1,0
4.0,1966.44,87,1351.0204081632653,19.5,72.0,peugeot 504 (sw),8.928571428571429,0,1,0
4.0,1573.152,69,992.7437641723355,18.0,72.0,renault 12 (sw),11.054421768707483,0,1,0
4.0,1999.214,86,1086.1678004535147,16.0,72.0,ford pinto (sw),9.35374149659864,1,0,0
4.0,1589.539,92,1037.641723356009,17.0,72.0,datsun 510 (sw),11.904761904761905,0,0,1
4.0,1966.44,97,1136.5079365079364,14.5,72.0,toyouta corona mark ii (sw),9.77891156462585,0,0,1
4.0,1605.926,80,981.40589569161,15.0,72.0,dodge colt (sw),11.904761904761905,1,0,0
4.0,1589.539,88,952.3809523809523,16.5,72.0,toyota corolla 1600 (sw),11.479591836734695,0,0,1
8.0,5735.45,175,1859.4104308390022,13.0,73.0,buick century 350,5.5272108843537415,1,0,0
8.0,4981.648,150,1665.3061224489795,11.5,73.0,amc matador,5.9523809523809526,1,0,0
8.0,5735.45,145,1808.6167800453513,13.0,73.0,chevrolet malibu,5.5272108843537415,1,0,0
8.0,4948.874,137,1833.1065759637188,14.5,73.0,ford gran torino,5.9523809523809526,1,0,0
8.0,5211.066,150,1712.9251700680272,12.5,73.0,dodge coronet custom,6.377551020408164,1,0,0
8.0,7030.023,198,2245.8049886621316,11.5,73.0,mercury marquis brougham,5.1020408163265305,1,0,0
8.0,6554.8,150,2024.4897959183672,12.0,73.0,chevrolet caprice classic,5.5272108843537415,1,0,0
8.0,5751.837,158,1978.6848072562357,13.0,73.0,ford ltd,5.5272108843537415,1,0,0
8.0,5211.066,150,1921.5419501133786,14.5,73.0,plymouth fury gran sedan,5.9523809523809526,1,0,0
8.0,7210.280000000001,215,2147.3922902494332,11.0,73.0,chrysler new yorker brougham,5.5272108843537415,1,0,0
8.0,7456.085,225,2245.3514739229026,11.0,73.0,buick electra 225 custom,5.1020408163265305,1,0,0
8.0,5899.32,175,1732.8798185941043,11.0,73.0,amc ambassador brougham,5.5272108843537415,1,0,0
6.0,3687.0750000000003,105,1415.4195011337868,16.5,73.0,plymouth valiant,7.653061224489797,1,0,0
6.0,4096.75,100,1486.6213151927436,18.0,73.0,chevrolet nova custom,6.802721088435375,1,0,0
6.0,3801.784,100,1335.6009070294783,16.0,73.0,amc hornet,7.653061224489797,1,0,0
6.0,4096.75,88,1370.0680272108843,16.5,73.0,ford maverick,7.653061224489797,1,0,0
6.0,3244.626,95,1317.0068027210884,16.0,73.0,plymouth duster,9.77891156462585,1,0,0
4.0,1589.539,46,884.3537414965986,21.0,73.0,volkswagen super beetle,11.054421768707483,0,1,0
8.0,6554.8,150,2266.2131519274376,14.0,73.0,chevrolet impala,4.67687074829932,1,0,0
8.0,6554.8,167,2224.943310657596,12.5,73.0,ford country,5.1020408163265305,1,0,0
8.0,5899.32,170,2110.657596371882,13.0,73.0,plymouth custom suburb,5.5272108843537415,1,0,0
8.0,5735.45,180,2040.3628117913831,12.5,73.0,oldsmobile vista cruiser,5.1020408163265305,1,0,0
6.0,3801.784,100,1264.8526077097506,15.0,73.0,amc gremlin,7.653061224489797,1,0,0
4.0,1589.539,88,1033.5600907029477,19.0,73.0,toyota carina,8.503401360544219,0,0,1
4.0,2294.1800000000003,72,1088.888888888889,19.5,73.0,chevrolet vega,8.928571428571429,1,0,0
4.0,1769.796,94,1078.9115646258504,16.5,73.0,datsun 610,9.35374149659864,0,0,1
3.0,1147.0900000000001,90,963.2653061224489,13.5,73.0,maxda rx3,7.653061224489797,0,0,1
4.0,1999.214,85,1047.6190476190475,18.5,73.0,ford pinto,8.078231292517007,1,0,0
6.0,2539.985,107,1121.0884353741496,14.0,73.0,mercury capri v6,8.928571428571429,1,0,0
4.0,1605.926,90,1027.2108843537414,15.5,73.0,fiat 124 sport coupe,11.054421768707483,0,1,0
8.0,5735.45,145,1851.2471655328798,13.0,73.0,chevrolet monte carlo s,6.377551020408164,1,0,0
8.0,6554.8,230,1940.1360544217687,9.5,73.0,pontiac grand prix,6.802721088435375,1,0,0
4.0,1114.316,49,846.7120181405895,19.5,73.0,fiat 128,12.329931972789117,0,1,0
4.0,1900.892,75,978.6848072562358,15.5,73.0,opel manta,10.204081632653061,0,1,0
4.0,1868.118,91,1170.9750566893424,14.0,73.0,audi 100ls,8.503401360544219,0,1,0
4.0,1982.827,112,1300.6802721088434,15.5,73.0,volvo 144ea,8.078231292517007,0,1,0
8.0,5211.066,150,1541.4965986394557,11.0,73.0,dodge dart custom,6.377551020408164,1,0,0
4.0,1982.827,110,1206.3492063492063,14.0,73.0,saab 99le,10.204081632653061,0,1,0
6.0,2556.3720000000003,122,1273.015873015873,13.5,73.0,toyota mark ii,8.503401360544219,0,0,1
8.0,5735.45,180,1661.6780045351472,11.0,73.0,oldsmobile omega,4.67687074829932,1,0,0
6.0,3244.626,95,1406.8027210884354,16.5,74.0,plymouth duster,8.503401360544219,1,0,0
6.0,3277.4,70,1303.8548752834467,17.0,74.0,ford maverick,8.928571428571429,1,0,0
6.0,3801.784,100,1315.6462585034012,16.0,74.0,amc hornet,8.078231292517007,1,0,0
6.0,4096.75,100,1512.9251700680272,17.0,74.0,chevrolet nova,6.377551020408164,1,0,0
4.0,1294.573,67,884.3537414965986,19.0,74.0,datsun b210,13.180272108843537,0,0,1
4.0,1999.214,80,1111.56462585034,16.5,74.0,ford pinto,11.054421768707483,1,0,0
4.0,1163.477,65,832.6530612244898,21.0,74.0,toyota corolla 1200,13.60544217687075,0,0,1
4.0,2294.1800000000003,75,1152.8344671201814,17.0,74.0,chevrolet vega,10.629251700680273,1,0,0
6.0,4096.75,100,1714.7392290249431,17.0,74.0,chevrolet chevelle malibu classic,6.802721088435375,1,0,0
6.0,4227.8460000000005,110,1647.1655328798186,18.0,74.0,amc matador,6.802721088435375,1,0,0
6.0,3687.0750000000003,105,1638.548752834467,16.5,74.0,plymouth satellite sebring,7.653061224489797,1,0,0
8.0,4948.874,140,1878.0045351473923,14.0,74.0,ford gran torino,6.802721088435375,1,0,0
8.0,5735.45,150,2131.065759637188,14.5,74.0,buick century luxus (sw),5.5272108843537415,1,0,0
8.0,5211.066,150,2021.315192743764,13.5,74.0,dodge coronet custom (sw),5.9523809523809526,1,0,0
8.0,4948.874,140,2103.401360544218,16.0,74.0,ford gran torino (sw),5.9523809523809526,1,0,0
8.0,4981.648,150,1930.612244897959,15.5,74.0,amc matador (sw),5.9523809523809526,1,0,0
4.0,1605.926,83,1006.3492063492063,16.5,74.0,audi fox,12.329931972789117,0,1,0
4.0,1294.573,67,890.2494331065759,15.5,74.0,volkswagen dasher,11.054421768707483,0,1,0
4.0,1589.539,78,1043.0839002267574,14.5,74.0,opel manta,11.054421768707483,0,1,0
4.0,1245.412,52,747.845804988662,16.5,74.0,toyota corona,13.180272108843537,0,0,1
4.0,1360.121,61,908.390022675737,19.0,74.0,datsun 710,13.60544217687075,0,0,1
4.0,1474.83,75,963.718820861678,14.5,74.0,dodge colt,11.904761904761905,1,0,0
4.0,1474.83,75,956.0090702947846,15.5,74.0,fiat 128,10.204081632653061,0,1,0
4.0,1900.892,75,1018.59410430839,14.0,74.0,fiat 124 tc,11.054421768707483,0,1,0
4.0,1966.44,97,1128.7981859410431,15.0,74.0,honda civic,10.204081632653061,0,0,1
4.0,1769.796,93,1084.3537414965986,15.5,74.0,subaru,11.054421768707483,0,0,1
4.0,1294.573,67,907.0294784580499,16.0,74.0,fiat x1.9,13.180272108843537,0,1,0
6.0,3687.0750000000003,95,1480.2721088435374,16.0,75.0,plymouth valiant custom,8.078231292517007,1,0,0
6.0,4096.75,105,1568.7074829931971,16.0,75.0,chevrolet nova,7.653061224489797,1,0,0
6.0,4096.75,72,1556.4625850340135,21.0,75.0,mercury monarch,6.377551020408164,1,0,0
6.0,4096.75,72,1432.1995464852607,19.5,75.0,ford maverick,6.377551020408164,1,0,0
8.0,6554.8,170,2117.006802721088,11.5,75.0,pontiac catalina,6.802721088435375,1,0,0
8.0,5735.45,145,2013.6054421768706,14.0,75.0,chevrolet bel air,6.377551020408164,1,0,0
8.0,5211.066,150,2039.9092970521542,14.5,75.0,plymouth grand fury,6.802721088435375,1,0,0
8.0,5751.837,148,2112.018140589569,13.5,75.0,ford ltd,5.9523809523809526,1,0,0
6.0,3785.397,110,1771.8820861678005,21.0,75.0,buick century,7.227891156462586,1,0,0
6.0,4096.75,105,1767.3469387755101,18.5,75.0,chevroelt chevelle malibu,6.802721088435375,1,0,0
6.0,4227.8460000000005,110,1691.609977324263,19.0,75.0,amc matador,6.377551020408164,1,0,0
6.0,3687.0750000000003,95,1716.5532879818593,19.0,75.0,plymouth fury,7.653061224489797,1,0,0
6.0,3785.397,110,1378.2312925170068,15.0,75.0,buick skyhawk,8.928571428571429,1,0,0
8.0,4293.394,110,1460.7709750566894,13.5,75.0,chevrolet monza 2+2,8.503401360544219,1,0,0
8.0,4948.874,129,1437.18820861678,12.0,75.0,ford mustang ii,5.5272108843537415,1,0,0
4.0,1589.539,75,984.5804988662131,16.0,75.0,toyota corolla,12.329931972789117,0,0,1
4.0,2294.1800000000003,83,1196.8253968253969,17.0,75.0,ford pinto,9.77891156462585,1,0,0
6.0,3801.784,100,1321.5419501133786,16.0,75.0,amc gremlin,8.503401360544219,1,0,0
4.0,2294.1800000000003,78,1175.5102040816325,18.5,75.0,pontiac astro,9.77891156462585,1,0,0
4.0,2195.858,96,1225.3968253968253,13.5,75.0,toyota corona,10.204081632653061,0,0,1
4.0,1474.83,71,1008.1632653061224,16.5,75.0,volkswagen dasher,10.629251700680273,0,1,0
4.0,1950.053,97,1154.1950113378684,17.0,75.0,datsun 710,10.204081632653061,0,0,1
6.0,2802.177,97,1353.2879818594104,14.5,75.0,ford pinto,7.653061224489797,1,0,0
4.0,1474.83,70,878.4580498866213,14.0,75.0,volkswagen rabbit,12.329931972789117,0,1,0
6.0,3801.784,90,1456.235827664399,17.0,75.0,amc pacer,8.078231292517007,1,0,0
4.0,1884.505,95,1221.7687074829932,15.0,75.0,audi 100ls,9.77891156462585,0,1,0
4.0,1966.44,88,1341.0430839002267,17.0,75.0,peugeot 504,9.77891156462585,0,1,0
4.0,1982.827,98,1335.6009070294783,14.5,75.0,volvo 244dl,9.35374149659864,0,1,0
4.0,1982.827,115,1211.3378684807255,13.5,75.0,saab 99le,10.629251700680273,0,1,0
4.0,1491.217,53,814.0589569160998,17.5,75.0,honda civic cvcc,14.03061224489796,0,0,1
4.0,1753.409,86,1117.4603174603174,15.5,76.0,fiat 131,11.904761904761905,0,1,0
4.0,1900.892,81,1006.8027210884353,16.9,76.0,opel 1900,10.629251700680273,0,1,0
4.0,2294.1800000000003,92,1166.439909297052,14.9,76.0,capri ii,10.629251700680273,1,0,0
4.0,1605.926,79,1022.6757369614512,17.7,76.0,dodge colt,11.054421768707483,1,0,0
4.0,1655.087,83,998.6394557823129,15.3,76.0,renault 12tl,11.479591836734695,0,1,0
8.0,4998.035,140,1911.56462585034,13.0,76.0,chevrolet chevelle malibu classic,7.440476190476191,1,0,0
8.0,5211.066,150,1900.2267573696145,13.0,76.0,dodge coronet brougham,6.802721088435375,1,0,0
8.0,4981.648,120,1796.8253968253969,13.9,76.0,amc matador,6.590136054421769,1,0,0
8.0,5751.837,152,1911.56462585034,12.8,76.0,ford gran torino,6.1649659863945585,1,0,0
6.0,3687.0750000000003,100,1466.2131519274376,15.4,76.0,plymouth valiant,9.35374149659864,1,0,0
6.0,4096.75,105,1520.6349206349205,14.5,76.0,chevrolet nova,9.35374149659864,1,0,0
6.0,3277.4,81,1365.9863945578231,17.6,76.0,ford maverick,10.204081632653061,1,0,0
6.0,3801.784,90,1399.092970521542,17.6,76.0,amc hornet,9.566326530612246,1,0,0
4.0,1392.895,52,922.9024943310658,22.2,76.0,chevrolet chevette,12.329931972789117,1,0,0
4.0,1605.926,60,981.40589569161,22.1,76.0,chevrolet woody,10.416666666666668,1,0,0
4.0,1474.83,70,878.4580498866213,14.2,76.0,vw rabbit,12.329931972789117,0,1,0
4.0,1491.217,53,814.0589569160998,17.4,76.0,honda civic,14.03061224489796,0,0,1
6.0,3687.0750000000003,100,1655.7823129251701,17.7,76.0,dodge aspen se,8.503401360544219,1,0,0
6.0,4096.75,78,1620.8616780045352,21.0,76.0,ford granada ghia,7.653061224489797,1,0,0
6.0,4096.75,110,1653.061224489796,16.2,76.0,pontiac ventura sj,7.865646258503402,1,0,0
6.0,4227.8460000000005,95,1448.0725623582766,17.8,76.0,amc pacer d/l,7.440476190476191,1,0,0
4.0,1589.539,71,827.6643990929705,12.2,76.0,volkswagen rabbit,12.542517006802722,0,1,0
4.0,1392.895,70,902.4943310657596,17.0,76.0,datsun b-210,13.60544217687075,0,0,1
4.0,1589.539,75,977.3242630385487,16.4,76.0,toyota corolla,11.904761904761905,0,0,1
4.0,2294.1800000000003,72,1163.265306122449,13.6,76.0,ford pinto,11.26700680272109,1,0,0
4.0,2130.31,102,1428.5714285714284,15.7,76.0,volvo 245,8.503401360544219,0,1,0
8.0,5211.066,150,1786.8480725623583,13.2,76.0,plymouth volare premier v8,5.5272108843537415,1,0,0
4.0,1966.44,88,1482.9931972789116,21.9,76.0,peugeot 504,8.078231292517007,0,1,0
6.0,2556.3720000000003,108,1328.7981859410431,15.5,76.0,toyota mark ii,8.078231292517007,0,0,1
6.0,2753.016,120,1732.4263038548752,16.7,76.0,mercedes-benz 280s,7.01530612244898,0,1,0
8.0,5735.45,180,1986.3945578231292,12.1,76.0,cadillac seville,7.01530612244898,1,0,0
8.0,5735.45,145,1839.0022675736961,12.0,76.0,chevy c10,5.5272108843537415,1,0,0
8.0,4948.874,130,1755.1020408163265,15.0,76.0,ford f108,5.5272108843537415,1,0,0
8.0,5211.066,150,1702.9478458049887,14.0,76.0,dodge d100,5.5272108843537415,1,0,0
4.0,1605.926,68,927.437641723356,18.5,77.0,honda accord cvcc,13.392857142857144,0,0,1
4.0,1818.957,80,977.3242630385487,14.8,77.0,buick opel isuzu deluxe,12.755102040816327,1,0,0
4.0,1294.573,58,827.6643990929705,18.6,77.0,renault 5 gtl,15.306122448979593,0,1,0
4.0,1999.214,96,1043.0839002267574,15.5,77.0,plymouth arrow gs,10.841836734693878,1,0,0
4.0,1392.895,70,882.0861678004535,16.8,77.0,datsun f-10 hatchback,14.243197278911566,0,0,1
8.0,4998.035,145,1759.6371882086166,12.5,77.0,chevrolet caprice classic,7.440476190476191,1,0,0
8.0,4260.62,110,1841.2698412698412,19.0,77.0,oldsmobile cutlass supreme,7.227891156462586,1,0,0
8.0,5211.066,145,1877.5510204081631,13.7,77.0,dodge monaco brougham,6.590136054421769,1,0,0
8.0,4948.874,130,1947.8458049886622,14.9,77.0,mercury cougar brougham,6.377551020408164,1,0,0
6.0,4096.75,110,1596.3718820861677,16.4,77.0,chevrolet concours,7.440476190476191,1,0,0
6.0,3785.397,105,1553.2879818594104,16.9,77.0,buick skylark,8.715986394557824,1,0,0
6.0,3687.0750000000003,100,1646.2585034013605,17.7,77.0,plymouth volare custom,8.078231292517007,1,0,0
6.0,4096.75,98,1598.6394557823128,19.0,77.0,ford granada,7.865646258503402,1,0,0
8.0,6554.8,180,1913.8321995464853,11.1,77.0,pontiac grand prix lj,6.802721088435375,1,0,0
8.0,5735.45,170,1888.888888888889,11.4,77.0,chevrolet monte carlo landau,6.590136054421769,1,0,0
8.0,6554.8,190,1961.4512471655328,12.2,77.0,chrysler cordoba,6.590136054421769,1,0,0
8.0,5751.837,149,1965.9863945578231,14.5,77.0,ford thunderbird,6.802721088435375,1,0,0
4.0,1589.539,78,879.8185941043083,14.5,77.0,volkswagen rabbit custom,12.329931972789117,0,1,0
4.0,2474.437,88,1242.6303854875282,16.0,77.0,pontiac sunbird coupe,10.416666666666668,1,0,0
4.0,1589.539,75,1027.2108843537414,18.2,77.0,toyota corolla liftback,11.054421768707483,0,0,1
4.0,2294.1800000000003,89,1249.4331065759636,15.8,77.0,ford mustang ii 2+2,10.841836734693878,1,0,0
4.0,1605.926,63,930.1587301587301,17.0,77.0,chevrolet chevette,12.967687074829932,1,0,0
4.0,1605.926,83,941.0430839002267,15.9,77.0,dodge colt m/m,14.243197278911566,1,0,0
4.0,1589.539,67,900.2267573696145,16.4,77.0,subaru dl,12.755102040816327,0,0,1
4.0,1589.539,78,993.1972789115646,14.1,77.0,volkswagen dasher,12.967687074829932,0,1,0
6.0,2392.502,97,1276.643990929705,14.5,77.0,datsun 810,9.35374149659864,0,0,1
4.0,1982.827,110,1179.1383219954648,12.8,77.0,bmw 320i,9.141156462585034,0,1,0
3.0,1310.96,110,1233.5600907029477,13.5,77.0,mazda rx-4,9.141156462585034,0,0,1
4.0,1474.83,48,900.2267573696145,21.5,78.0,volkswagen rabbit custom diesel,18.32482993197279,0,1,0
4.0,1605.926,66,816.3265306122448,14.4,78.0,ford fiesta,15.348639455782314,1,0,0
4.0,1278.1860000000001,52,900.2267573696145,19.4,78.0,mazda glc deluxe,13.945578231292517,0,0,1
4.0,1392.895,70,938.7755102040816,18.6,78.0,datsun b210 gx,16.75170068027211,0,0,1
4.0,1491.217,60,816.3265306122448,16.4,78.0,honda civic cvcc,15.348639455782314,0,0,1
8.0,4260.62,110,1526.077097505669,15.5,78.0,oldsmobile cutlass salon brougham,8.460884353741497,1,0,0
8.0,5211.066,140,1693.8775510204082,13.2,78.0,dodge diplomat,8.248299319727892,1,0,0
8.0,4948.874,139,1619.047619047619,12.8,78.0,mercury monarch ghia,8.58843537414966,1,0,0
6.0,3785.397,105,1603.1746031746031,19.2,78.0,pontiac phoenix lj,8.16326530612245,1,0,0
6.0,3277.4,95,1430.8390022675737,18.2,78.0,chevrolet malibu,8.715986394557824,1,0,0
6.0,3277.4,85,1344.6712018140588,15.8,78.0,ford fairmont (auto),8.58843537414966,1,0,0
4.0,2294.1800000000003,88,1233.5600907029477,15.4,78.0,ford fairmont (man),10.671768707482995,1,0,0
6.0,3687.0750000000003,100,1555.5555555555554,17.2,78.0,plymouth volare,8.715986394557824,1,0,0
6.0,3801.784,90,1455.7823129251701,17.2,78.0,amc concord,8.248299319727892,1,0,0
6.0,3785.397,105,1532.8798185941043,15.8,78.0,buick century special,8.758503401360546,1,0,0
6.0,3277.4,85,1392.2902494331065,16.7,78.0,mercury zephyr,8.843537414965986,1,0,0
6.0,3687.0750000000003,110,1641.7233560090701,18.7,78.0,dodge aspen,7.908163265306124,1,0,0
6.0,4227.8460000000005,120,1546.485260770975,15.1,78.0,amc concord d/l,7.695578231292518,1,0,0
8.0,4998.035,145,1553.2879818594104,13.2,78.0,chevrolet monte carlo landau,8.16326530612245,1,0,0
6.0,3785.397,165,1562.3582766439908,13.4,78.0,buick regal sport coupe (turbo),7.525510204081633,1,0,0
8.0,4948.874,139,1453.5147392290248,11.2,78.0,ford futura,7.695578231292518,1,0,0
8.0,5211.066,140,1850.3401360544217,13.7,78.0,dodge magnum xe,7.440476190476191,1,0,0
4.0,1605.926,68,977.3242630385487,16.5,78.0,chevrolet chevette,12.755102040816327,1,0,0
4.0,2195.858,95,1160.9977324263039,14.2,78.0,toyota corona,11.6921768707483,0,0,1
4.0,1950.053,97,1043.0839002267574,14.7,78.0,datsun 510,11.564625850340136,0,0,1
4.0,1720.635,75,1011.3378684807255,14.5,78.0,dodge omni,13.137755102040817,1,0,0
4.0,2195.858,95,1140.5895691609976,14.8,78.0,toyota celica gt liftback,8.971088435374151,0,0,1
4.0,2556.3720000000003,105,1244.8979591836735,16.7,78.0,plymouth sapporo,9.863945578231293,1,0,0
4.0,2474.437,85,1294.7845804988663,17.6,78.0,oldsmobile starfire sx,10.11904761904762,1,0,0
4.0,1950.053,97,1090.702947845805,14.9,78.0,datsun 200-sx,10.16156462585034,0,0,1
