mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,car_name,USA,Europe,Japan,company_name,VW,amc,audi,bmw,buick,cadillac,chevrolet,chrysler,datsun,dodge,fiat,ford,hi,honda,mazda,mercedes-benz,mercury,oldsmobile,opel,peugeot,plymouth,pontiac,renault,saab,subaru,toyota,triumph,volvo
14.0,8.0,350.0,165.0,4209.0,12.0,71.0, impala,1,0,0,chevrolet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,8.0,400.0,175.0,4464.0,11.5,71.0, catalina brougham,1,0,0,pontiac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14.0,8.0,351.0,153.0,4154.0,13.5,71.0, galaxie 500,1,0,0,ford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,8.0,318.0,150.0,4096.0,13.0,71.0, fury iii,1,0,0,plymouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12.0,8.0,383.0,180.0,4955.0,11.5,71.0, monaco (sw),1,0,0,dodge,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,8.0,400.0,170.0,4746.0,12.0,71.0, country squire (sw),1,0,0,ford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,8.0,400.0,175.0,5140.0,12.0,71.0, safari (sw),1,0,0,pontiac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.0,6.0,258.0,110.0,2962.0,13.5,71.0, hornet sportabout (sw),1,0,0,amc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.0,4.0,140.0,72.0,2408.0,19.0,71.0, vega (sw),1,0,0,chevrolet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0,6.0,250.0,100.0,3282.0,15.0,71.0, firebird,1,0,0,pontiac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.0,6.0,250.0,88.0,3139.0,14.5,71.0, mustang,1,0,0,ford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0,4.0,122.0,86.0,2220.0,14.0,71.0, capri 2000,1,0,0,mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28.0,4.0,116.0,90.0,2123.0,14.0,71.0, 1900,0,1,0,opel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30.0,4.0,79.0,70.0,2074.0,19.5,71.0, 304,0,1,0,peugeot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30.0,4.0,88.0,76.0,2065.0,14.5,71.0, 124b,0,1,0,fiat,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,4.0,71.0,65.0,1773.0,19.0,71.0, corolla 1200,0,0,1,toyota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35.0,4.0,72.0,69.0,1613.0,18.0,71.0, 1200,0,0,1,datsun,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.0,4.0,97.0,60.0,1834.0,19.0,71.0, model 111,0,1,0,VW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.0,4.0,91.0,70.0,1955.0,20.5,71.0, cricket,1,0,0,plymouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24.0,4.0,113.0,95.0,2278.0,15.5,72.0, corona hardtop,0,0,1,toyota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25.0,4.0,97.5,80.0,2126.0,17.0,72.0, colt hardtop,1,0,0,dodge,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0,4.0,97.0,54.0,2254.0,23.5,72.0, type 3,0,1,0,VW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,4.0,140.0,90.0,2408.0,19.5,72.0, vega,1,0,0,chevrolet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0,4.0,122.0,86.0,2226.0,16.5,72.0, pinto runabout,1,0,0,ford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,8.0,350.0,165.0,4274.0,12.0,72.0, impala,1,0,0,chevrolet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,8.0,400.0,175.0,4385.0,12.0,72.0, catalina,1,0,0,pontiac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.0,8.0,318.0,150.0,4135.0,13.5,72.0, fury iii,1,0,0,plymouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14.0,8.0,351.0,153.0,4129.0,13.0,72.0, galaxie 500,1,0,0,ford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.0,8.0,304.0,150.0,3672.0,11.5,72.0, ambassador sst,1,0,0,amc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0,8.0,429.0,208.0,4633.0,11.0,72.0, marquis,1,0,0,mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13.0,8.0,350.0,155.0,4502.0,13.5,72.0, lesabre custom,1,0,0,buick,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,8.0,350.0,160.0,4456.0,13.5,72.0, delta 88 royale,1,0,0,oldsmobile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13.0,8.0,400.0,190.0,4422.0,12.5,72.0, newport royal,1,0,0,chrysler,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0,3.0,70.0,97.0,2330.0,13.5,72.0, rx2 coupe,0,0,1,mazda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,8.0,304.0,150.0,3892.0,12.5,72.0, matador (sw),1,0,0,amc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,8.0,307.0,130.0,4098.0,14.0,72.0, chevelle concours (sw),1,0,0,chevrolet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,8.0,302.0,140.0,4294.0,16.0,72.0, gran torino (sw),1,0,0,ford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,8.0,318.0,150.0,4077.0,14.0,72.0, satellite custom (sw),1,0,0,plymouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18.0,4.0,121.0,112.0,2933.0,14.5,72.0, 145e (sw),0,1,0,volvo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22.0,4.0,121.0,76.0,2511.0,18.0,72.0, 411 (sw),0,1,0,VW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0,4.0,120.0,87.0,2979.0,19.5,72.0, 504 (sw),0,1,0,peugeot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26.0,4.0,96.0,69.0,2189.0,18.0,72.0, 12 (sw),0,1,0,renault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22.0,4.0,122.0,86.0,2395.0,16.0,72.0, pinto (sw),1,0,0,ford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,4.0,97.0,92.0,2288.0,17.0,72.0, 510 (sw),0,0,1,datsun,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0,4.0,120.0,97.0,2506.0,14.5,72.0, corona mark ii (sw),0,0,1,toyota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28.0,4.0,98.0,80.0,2164.0,15.0,72.0, colt (sw),1,0,0,dodge,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.0,4.0,97.0,88.0,2100.0,16.5,72.0, corolla 1600 (sw),0,0,1,toyota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13.0,8.0,350.0,175.0,4100.0,13.0,73.0, century 350,1,0,0,buick,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,8.0,304.0,150.0,3672.0,11.5,73.0, matador,1,0,0,amc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,8.0,350.0,145.0,3988.0,13.0,73.0, malibu,1,0,0,chevrolet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,8.0,302.0,137.0,4042.0,14.5,73.0, gran torino,1,0,0,ford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,8.0,318.0,150.0,3777.0,12.5,73.0, coronet custom,1,0,0,dodge,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,8.0,429.0,198.0,4952.0,11.5,73.0, marquis brougham,1,0,0,mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13.0,8.0,400.0,150.0,4464.0,12.0,73.0, caprice classic,1,0,0,chevrolet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,8.0,351.0,158.0,4363.0,13.0,73.0, ltd,1,0,0,ford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,8.0,318.0,150.0,4237.0,14.5,73.0, fury gran sedan,1,0,0,plymouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13.0,8.0,440.0,215.0,4735.0,11.0,73.0, new yorker brougham,1,0,0,chrysler,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,8.0,455.0,225.0,4951.0,11.0,73.0, electra 225 custom,1,0,0,buick,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,8.0,360.0,175.0,3821.0,11.0,73.0, ambassador brougham,1,0,0,amc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,6.0,225.0,105.0,3121.0,16.5,73.0, valiant,1,0,0,plymouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16.0,6.0,250.0,100.0,3278.0,18.0,73.0, nova custom,1,0,0,chevrolet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,6.0,232.0,100.0,2945.0,16.0,73.0, hornet,1,0,0,amc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,6.0,250.0,88.0,3021.0,16.5,73.0, maverick,1,0,0,ford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0,6.0,198.0,95.0,2904.0,16.0,73.0, duster,1,0,0,plymouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26.0,4.0,97.0,46.0,1950.0,21.0,73.0, super beetle,0,1,0,VW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.0,8.0,400.0,150.0,4997.0,14.0,73.0, impala,1,0,0,chevrolet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,8.0,400.0,167.0,4906.0,12.5,73.0, country,1,0,0,ford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.0,8.0,360.0,170.0,4654.0,13.0,73.0, custom suburb,1,0,0,plymouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12.0,8.0,350.0,180.0,4499.0,12.5,73.0, vista cruiser,1,0,0,oldsmobile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18.0,6.0,232.0,100.0,2789.0,15.0,73.0, gremlin,1,0,0,amc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0,4.0,97.0,88.0,2279.0,19.0,73.0, carina,0,0,1,toyota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21.0,4.0,140.0,72.0,2401.0,19.5,73.0, vega,1,0,0,chevrolet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.0,4.0,108.0,94.0,2379.0,16.5,73.0, 610,0,0,1,datsun,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.0,3.0,70.0,90.0,2124.0,13.5,73.0, rx3,0,0,1,mazda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0,4.0,122.0,85.0,2310.0,18.5,73.0, pinto,1,0,0,ford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.0,6.0,155.0,107.0,2472.0,14.0,73.0, capri v6,1,0,0,mercury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26.0,4.0,98.0,90.0,2265.0,15.5,73.0, 124 sport coupe,0,1,0,fiat,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,8.0,350.0,145.0,4082.0,13.0,73.0, monte carlo s,1,0,0,chevrolet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0,8.0,400.0,230.0,4278.0,9.5,73.0, grand prix,1,0,0,pontiac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29.0,4.0,68.0,49.0,1867.0,19.5,73.0, 128,0,1,0,fiat,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.0,4.0,116.0,75.0,2158.0,15.5,73.0, manta,0,1,0,opel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20.0,4.0,114.0,91.0,2582.0,14.0,73.0, 100ls,0,1,0,audi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0,4.0,121.0,112.0,2868.0,15.5,73.0, 144ea,0,1,0,volvo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15.0,8.0,318.0,150.0,3399.0,11.0,73.0, dart custom,1,0,0,dodge,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.0,4.0,121.0,110.0,2660.0,14.0,73.0, 99le,0,1,0,saab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20.0,6.0,156.0,122.0,2807.0,13.5,73.0, mark ii,0,0,1,toyota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11.0,8.0,350.0,180.0,3664.0,11.0,73.0, omega,1,0,0,oldsmobile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20.0,6.0,198.0,95.0,3102.0,16.5,74.0, duster,1,0,0,plymouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21.0,6.0,200.0,129.0,2875.0,17.0,74.0, maverick,1,0,0,ford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0,6.0,232.0,100.0,2901.0,16.0,74.0, hornet,1,0,0,amc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,6.0,250.0,100.0,3336.0,17.0,74.0, nova,1,0,0,chevrolet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,4.0,79.0,67.0,1950.0,19.0,74.0, b210,0,0,1,datsun,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.0,4.0,122.0,80.0,2451.0,16.5,74.0, pinto,1,0,0,ford,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,4.0,71.0,65.0,1836.0,21.0,74.0, corolla 1200,0,0,1,toyota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25.0,4.0,140.0,75.0,2542.0,17.0,74.0, vega,1,0,0,chevrolet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0,6.0,250.0,100.0,3781.0,17.0,74.0, chevelle malibu classic,1,0,0,chevrolet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0,6.0,258.0,110.0,3632.0,18.0,74.0, matador,1,0,0,amc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
